signguCode,signguNm,baseYm,KTCI_data,KTCI_2014_adapted,KTCI_hybrid,score_thermal,score_humidity,score_wind,score_precipitation,score_air_quality,S_temp,S_humidity,S_wind,S_precip,S_airquality,visitor_local,visitor_domestic,visitor_foreign,visitor_total,n_days,관광객다양성,관광소비다양성,국제다양성,관광체류강도,숙박비중,타권역방문자비중,관광소비강도
51820,고성군,202411,82.74633619619584,83.3838573708469,82.9057164898586,74.98894444444446,85.025,69.09905555555557,98.84666666666666,68.32541666666667,0.2501105555555555,0.14975,0.3090094444444444,0.011533333333333323,0.3167458333333333,725882.5,880421.5,8663.07,1614967.07,30,,,,,,,
51820,고성군,202412,76.76224188799337,69.1193239805764,74.46936651576829,52.91161290322581,77.79193548387097,56.373817204301076,99.8462365591398,68.56145161290323,0.4708838709677419,0.22208064516129034,0.43626182795698926,0.0015376344086021451,0.31438548387096776,723401.0,823228.0,5722.79,1552351.79,31,,,,,,,
51820,고성군,202501,76.64344124265247,67.66585695439522,73.95016595617528,49.13661290322581,82.85225806451614,60.718107526881724,99.15752688172043,63.91903225806452,0.5086338709677419,0.1714774193548387,0.39281892473118274,0.008424731182795688,0.3608096774193548,686612.5,959609.0,3575.34,1649796.84,31,59.89,64.31,73.45,84.0,105.18,93.12,71.23
51820,고성군,202502,75.14202631170848,68.48018204807484,73.14347303261836,50.58260714285715,73.86607142857143,59.47515476190477,99.99261904761906,64.125,0.49417392857142856,0.2613392857142857,0.40524845238095236,7.380952380952143e-05,0.35875,623892.5,703104.5,4023.99,1331020.99,28,58.95,63.93,75.2,77.63,101.96,85.64,70.07
51820,고성군,202503,75.63109850010136,75.05156332091425,75.37030766946717,64.5808064516129,70.5741935483871,64.8419623655914,94.96612903225805,59.79830645161291,0.3541919354838709,0.294258064516129,0.351580376344086,0.05033870967741934,0.40201693548387096,710878.0,796082.0,9003.41,1515963.41,31,59.53,64.15,77.75,75.87,93.29,85.42,69.7
51820,고성군,202504,77.56865351779857,83.32057526255106,80.15701830293719,79.44538888888889,70.45433333333334,65.20968888888889,96.83533333333334,59.46366666666667,0.20554611111111107,0.29545666666666665,0.3479031111111111,0.031646666666666656,0.40536333333333335,700266.0,804723.5,11150.16,1516139.66,30,59.64,64.58,76.4,77.16,96.56,86.33,71.04
51820,고성군,202505,78.33768168624012,89.85290580907126,83.51953254151414,91.64252688172044,67.28387096774195,67.45831182795699,96.79811827956989,60.262903225806454,0.08357473118279565,0.3271612903225806,0.3254168817204301,0.032018817204301046,0.3973709677419355,747376.0,1156305.5,8097.74,1911779.24,31,60.95,65.6,72.6,85.55,101.62,96.58,73.34
51820,고성군,202506,84.42979180484842,90.1866005095278,84.42979180484842,88.3116111111111,58.78433333333333,74.89597777777777,97.23077777777779,60.639,0.11688388888888884,0.4121566666666666,0.2510402222222222,0.027692222222222198,0.39360999999999996,732336.5,1160106.5,8459.94,1900902.94,30,60.79,65.67,70.59,84.53,99.09,97.37,73.59
51820,고성군,202507,76.26616433147122,80.07461808421625,76.26616433147122,71.7767311827957,27.590967741935486,76.61537096774194,93.61231182795699,69.1355376344086,0.28223268817204294,0.7240903225806451,0.23384629032258064,0.0638768817204301,0.30864462365591394,763945.0,1413132.0,9647.94,2186724.94,31,61.69,66.56,72.17,93.3,107.28,102.45,75.97
51820,고성군,202508,75.62649994965189,79.0398026598693,75.62649994965189,69.88327956989248,28.425806451612903,74.05051612903226,94.3002688172043,70.0516129032258,0.30116720430107524,0.7157419354838709,0.2594948387096774,0.05699731182795697,0.299483870967742,756658.0,1783180.0,10581.64,2550419.64,31,62.69,67.73,74.25,100.06,107.46,109.92,77.74
