shot_id,match_id,team,opponent,player,period,minute,second,shot_x,shot_y,shot_dist_to_goal_m,xg,outcome,is_goal,shot_type,body_part,first_time,under_pressure,play_pattern,attack_start_x,attack_start_y,attack_start_type,attack_duration_s,n_pass,n_carry,x_progression,goal_dist_gain,progression_speed,last_pass_type,last_pass_x,last_pass_y,attack_path,has_360_frame,n_tracked_360,n_defenders_ff,nearest_def_dist_m,def_within_1m,def_within_2m,def_within_3m,def_in_box,def_between_ball_goal,teammates_in_box,gk_x,gk_y,gk_dist_from_goalline_m,gk_lateral_offset_m,attack_type
9f9cc1fe-f26f-416d-a2bc-c965c1b2aed0,3857267,Ecuador,Senegal,Enner Remberto Valencia Lastra,1,9,58,95.9,37.7,22.14,0.02803523,Blocked,0,Open Play,Right Foot,True,False,From Free Kick,86.9,40.9,Shot,7,0,1,9.0,8.9,1.29,,,,central,True,19,11,5.8,0,0,0,9,3,4,118.6,39.9,1.28,0.09,other
e3788f0f-b869-4e30-b752-70b1062457ba,3857267,Senegal,Ecuador,Ismaïla Sarr,1,10,52,99.2,40.2,19.02,0.042373266,Blocked,0,Open Play,Right Foot,False,False,From Corner,120.0,0.1,Pass,5,0,3,-20.8,19.1,-4.16,,,,central,True,20,11,2.42,0,0,1,9,4,4,117.3,40.2,2.47,0.18,other
9c6d9302-1de8-4a97-ac5c-52153023503d,3857267,Senegal,Ecuador,Iliman Ndiaye,1,11,53,99.7,52.9,21.99,0.02889044,Off T,0,Open Play,Left Foot,False,False,From Corner,120.0,0.1,Pass,66,8,17,-20.3,15.8,-0.31,,,,half_space,True,16,9,3.2,0,0,0,7,3,3,117.3,41.5,2.47,1.37,slow_possession
c319aceb-f6cd-40e3-8431-557a2619a822,3857267,Senegal,Ecuador,Ismaïla Sarr,1,23,37,104.1,25.5,19.68,0.023828069,Blocked,0,Open Play,Right Foot,False,False,Regular Play,68.7,19.3,Pass,9,1,1,35.4,33.8,3.93,central_pass,68.7,19.3,half_space,True,14,8,1.07,0,1,1,7,1,3,116.1,36.9,3.57,2.83,central_penetration
04b3da1e-5e65-4060-8945-664a3fe004ee,3857267,Senegal,Ecuador,Pape Gueye,1,24,20,93.0,36.3,24.92,0.025696881,Blocked,0,Open Play,Left Foot,False,False,From Corner,120.0,80.0,Pass,4,0,1,-27.0,12.7,-6.75,,,,central,True,19,11,2.23,0,0,1,9,5,6,117.3,39.4,2.47,0.55,other
d68c0771-3315-4ef2-8c10-82157b6eeb7e,3857267,Senegal,Ecuador,Abdou Diallo,1,24,27,107.9,41.9,11.2,0.035411544,Wayward,0,Open Play,Head,False,False,From Corner,120.0,80.0,Pass,11,2,3,-12.1,27.8,-1.1,cross,106.8,68.3,wide,True,18,10,1.1,0,2,2,7,2,5,117.3,39.9,2.47,0.09,wide_cross
5f66b1e6-4264-46d4-bf52-ec9e834b12c6,3857267,Senegal,Ecuador,Pathé Ismaël Ciss,1,36,31,108.1,33.6,12.36,0.03057826,Off T,0,Open Play,Head,False,False,From Free Kick,79.7,64.4,Pass,2,1,0,28.4,33.6,14.2,other,79.7,64.4,wide,True,17,11,1.27,0,1,3,9,1,3,119.0,39.1,0.91,0.82,other
8c2f9c1f-2c84-4d2d-9794-9b87829ede8a,3857267,Senegal,Ecuador,Iliman Ndiaye,1,46,31,107.3,46.7,13.13,0.04522632,Blocked,0,Open Play,Left Foot,False,False,Regular Play,75.6,3.3,Ball Recovery,12,2,5,31.7,43.2,2.64,,,,central,True,13,8,1.1,0,2,2,8,2,3,117.0,41.7,2.74,1.55,other
f357068e-101e-47d5-9cab-b46abeab6fd2,3857267,Ecuador,Senegal,José Adoni Cifuentes Charcopa,2,48,26,93.8,51.3,26.09,0.025271386,Saved,0,Open Play,Right Foot,False,False,From Throw In,92.1,0.1,Pass,51,20,17,1.7,20.2,0.03,central_pass,88.2,19.7,half_space,True,18,11,3.38,0,0,0,5,1,2,118.2,41.7,1.65,1.55,central_penetration
5783c86d-02e9-4d3c-89e8-0b1ea00d2aca,3857267,Ecuador,Senegal,Michael Steveen Estrada Martínez,2,56,59,106.7,38.8,12.21,0.042533338,Off T,0,Open Play,Head,False,False,Regular Play,40.9,13.8,Ball Recovery,91,23,25,65.8,70.0,0.72,,,,central,True,16,10,0.98,1,1,2,5,1,3,118.2,39.2,1.65,0.73,slow_possession
d7dc9e6e-e833-4bca-abe0-16efd35baa2d,3857267,Ecuador,Senegal,Felix Eduardo Torres Caicedo,2,66,57,113.7,42.7,6.27,0.15397952,Wayward,0,Open Play,Head,False,False,From Corner,120.0,80.0,Pass,1,1,0,-6.3,33.1,-6.3,cutback,120.0,80.0,wide,True,17,11,1.22,0,1,3,10,2,5,119.0,40.2,0.91,0.18,cutback
fe08733c-664e-444f-9053-4753f4d98076,3857267,Ecuador,Senegal,Moisés Isaac Caicedo Corozo,2,66,58,117.2,35.6,4.77,0.5894187,Goal,1,Open Play,Right Foot,True,False,From Corner,120.0,80.0,Pass,2,1,0,-2.8,34.8,-1.4,,,,central,True,17,11,3.16,0,0,0,10,1,5,119.5,40.1,0.46,0.09,other
7f414cf8-690c-4ce8-bdb4-7de35ddbd88b,3857267,Senegal,Ecuador,Kalidou Koulibaly,2,69,30,114.3,46.0,7.57,0.23427999,Goal,1,Open Play,Right Foot,True,False,From Free Kick,88.6,74.6,Pass,3,0,0,25.7,38.4,8.57,,,,central,True,15,9,3.41,0,0,0,8,1,4,118.6,41.6,1.28,1.46,other
4791bb90-e837-4f48-90e2-efede0479473,3857267,Ecuador,Senegal,Gonzalo Jordy Plata Jiménez,2,75,48,107.0,42.8,12.16,0.058988493,Saved,0,Open Play,Left Foot,False,False,From Throw In,62.0,80.0,Pass,58,9,10,45.0,57.2,0.78,central_pass,105.4,51.8,half_space,True,15,9,1.23,0,2,3,9,3,4,118.3,40.3,1.55,0.27,central_penetration
2bf8682f-e1ab-414c-8bc1-6980dc46c81c,3857267,Senegal,Ecuador,Boulaye Dia,2,81,53,101.3,54.6,21.69,0.04455093,Off T,0,Open Play,Right Foot,True,False,From Throw In,22.9,80.0,Pass,28,8,6,78.4,81.3,2.8,central_pass,77.9,61.9,half_space,True,16,9,1.43,0,1,1,2,1,0,117.2,42.9,2.56,2.65,central_penetration
5bfc0320-add5-41f5-8498-58bdb69b0879,3857267,Senegal,Ecuador,Pape Gueye,2,87,46,102.6,54.8,20.89,0.03201506,Saved,0,Open Play,Right Foot,False,False,From Free Kick,73.3,43.0,Pass,5,0,1,29.3,24.0,5.86,,,,half_space,True,15,9,1.27,0,1,2,7,1,3,116.2,43.5,3.47,3.2,other
