NM,방문수,만족,재방문의향,유형
백제문화 단지,24,4.375,3.9583333333333335,숨은명소(한적+만족)
웅천친수공원,24,4.5,4.5,숨은명소(한적+만족)
망상해변,24,4.458333333333333,4.541666666666667,숨은명소(한적+만족)
낙안읍성민속마을,24,4.458333333333333,3.9583333333333335,숨은명소(한적+만족)
전주남부시장 한옥마을야시장,24,3.2916666666666665,3.4583333333333335,평범(한적+불만)
이마트 속초점,24,4.291666666666667,4.208333333333333,평범(한적+불만)
시골밥상,24,3.3333333333333335,2.9166666666666665,평범(한적+불만)
낙산해변,24,4.208333333333333,4.083333333333333,평범(한적+불만)
해지개,24,4.208333333333333,3.7916666666666665,평범(한적+불만)
곰막식당,24,4.291666666666667,4.166666666666667,평범(한적+불만)
꽃돌게장1번가,24,4.333333333333333,4.166666666666667,평범(한적+불만)
헬로키티 아일랜드,24,4.208333333333333,3.8333333333333335,평범(한적+불만)
은희네해장국 본점,24,4.541666666666667,4.416666666666667,숨은명소(한적+만족)
고소동 벽화마을,24,4.083333333333333,3.7916666666666665,평범(한적+불만)
꽃동 게장 1번가,24,4.708333333333333,4.625,숨은명소(한적+만족)
남대문시장,24,3.7083333333333335,3.9583333333333335,평범(한적+불만)
이성당 신관,24,4.208333333333333,3.9583333333333335,평범(한적+불만)
스타벅스 더여수돌산DT점,24,4.208333333333333,4.166666666666667,평범(한적+불만)
유월드 루지 테마파크,24,4.5,4.291666666666667,숨은명소(한적+만족)
오저여,24,4.416666666666667,4.291666666666667,숨은명소(한적+만족)
IFC몰,24,4.541666666666667,4.416666666666667,숨은명소(한적+만족)
용담해안도로,24,4.5,4.375,숨은명소(한적+만족)
현대 프리미엄 아울렛 스페이스 원,24,4.458333333333333,4.208333333333333,숨은명소(한적+만족)
애월 카페거리,23,4.3478260869565215,4.086956521739131,평범(한적+불만)
이태원거리,23,3.652173913043478,3.1739130434782608,평범(한적+불만)
라이언 홀리데이 인 부산,23,4.0,3.5217391304347827,평범(한적+불만)
이호 테우 등대,23,4.304347826086956,4.043478260869565,평범(한적+불만)
천은사,23,4.217391304347826,4.086956521739131,평범(한적+불만)
호랑이젤라떡,23,4.521739130434782,4.434782608695652,숨은명소(한적+만족)
블루 보틀 제주 카페,23,4.521739130434782,4.391304347826087,숨은명소(한적+만족)
레고랜드코리아리조트,23,4.043478260869565,3.4782608695652173,평범(한적+불만)
현대프리미엄아울렛 스페이스원,23,4.304347826086956,4.173913043478261,평범(한적+불만)
애월빵공장앤카페,23,3.8260869565217392,3.4782608695652173,평범(한적+불만)
수원화성박물관,23,4.173913043478261,3.652173913043478,평범(한적+불만)
화개장터,23,3.5652173913043477,3.130434782608696,평범(한적+불만)
본태박물관,23,4.391304347826087,3.8260869565217392,숨은명소(한적+만족)
이르리,23,4.434782608695652,4.434782608695652,숨은명소(한적+만족)
청초수물회 속초본점,23,4.130434782608695,3.9130434782608696,평범(한적+불만)
따라비오름,23,4.478260869565218,4.304347826086956,숨은명소(한적+만족)
별돈별 협재해변점,23,4.173913043478261,3.739130434782609,평범(한적+불만)
오늘은녹차한잔,23,4.173913043478261,3.869565217391304,평범(한적+불만)
고집돌우럭 중문점,23,4.608695652173913,4.391304347826087,숨은명소(한적+만족)
강화풍물시장,23,3.869565217391304,3.782608695652174,평범(한적+불만)
트리플 스트리트,23,4.391304347826087,4.3478260869565215,숨은명소(한적+만족)
오이도 빨강등대,23,3.9565217391304346,3.869565217391304,평범(한적+불만)
유리알 유희,23,4.478260869565218,4.086956521739131,숨은명소(한적+만족)
목포근대역사관 2관,23,4.217391304347826,4.0,평범(한적+불만)
용연구름다리,23,3.9130434782608696,3.3043478260869565,평범(한적+불만)
태화강국가정원 십리대숲,23,4.869565217391305,4.565217391304348,숨은명소(한적+만족)
산토리니,23,4.434782608695652,4.260869565217392,숨은명소(한적+만족)
길거리야 한옥마을점,23,4.304347826086956,4.130434782608695,평범(한적+불만)
제주김만복 본점,23,4.086956521739131,3.608695652173913,평범(한적+불만)
덕수궁돌담길,23,4.434782608695652,4.173913043478261,숨은명소(한적+만족)
다정이네 올레시장본점,23,4.130434782608695,3.9565217391304346,평범(한적+불만)
소금바치순이네,23,4.434782608695652,4.043478260869565,숨은명소(한적+만족)
해운대블루라인파크 청사포정거장,23,4.173913043478261,4.130434782608695,평범(한적+불만)
단양다누리센터 아쿠아리움,23,4.695652173913044,4.3478260869565215,숨은명소(한적+만족)
제주시 새우리 제주점,23,4.434782608695652,4.217391304347826,숨은명소(한적+만족)
88버거,23,4.304347826086956,3.9565217391304346,평범(한적+불만)
수월봉지질트레일,23,4.173913043478261,4.043478260869565,평범(한적+불만)
넉둥베기,23,4.173913043478261,3.6956521739130435,평범(한적+불만)
설악산,23,4.434782608695652,4.478260869565218,숨은명소(한적+만족)
서피 비치,23,4.434782608695652,4.260869565217392,숨은명소(한적+만족)
더베이101,23,4.521739130434782,4.478260869565218,숨은명소(한적+만족)
먹돌 제주본점,23,4.304347826086956,3.869565217391304,평범(한적+불만)
서어봉,23,4.391304347826087,4.304347826086956,숨은명소(한적+만족)
서귀포잠수함,23,4.173913043478261,3.739130434782609,평범(한적+불만)
김유정역 (폐역),23,4.608695652173913,4.391304347826087,숨은명소(한적+만족)
한벽굴,23,4.0,3.0869565217391304,평범(한적+불만)
쌈지길,23,4.173913043478261,3.9130434782608696,평범(한적+불만)
중앙로 지하상가,23,4.043478260869565,3.782608695652174,평범(한적+불만)
중문수두리보말칼국수,23,4.6521739130434785,4.434782608695652,숨은명소(한적+만족)
신흥사,23,4.304347826086956,4.086956521739131,평범(한적+불만)
신세계백화점 천안아산점,23,4.260869565217392,4.3478260869565215,평범(한적+불만)
남원시립 김병종 미술관,23,4.391304347826087,4.086956521739131,숨은명소(한적+만족)
하고수동 해변,23,4.478260869565218,4.173913043478261,숨은명소(한적+만족)
주문진해변,23,4.3478260869565215,4.260869565217392,평범(한적+불만)
서귀포유람선,23,4.695652173913044,4.608695652173913,숨은명소(한적+만족)
스타벅스 경주대릉원점,23,4.173913043478261,3.869565217391304,평범(한적+불만)
통도사,22,4.363636363636363,4.2727272727272725,숨은명소(한적+만족)
한라산국립공원 영실탐방로,22,4.681818181818182,4.681818181818182,숨은명소(한적+만족)
남산서울타워,22,4.7727272727272725,4.7272727272727275,숨은명소(한적+만족)
한라산아래첫마을,22,4.863636363636363,4.545454545454546,숨은명소(한적+만족)
휴애리 자연생활공원,22,4.2272727272727275,3.9545454545454546,평범(한적+불만)
금강신관공원,22,4.2727272727272725,4.136363636363637,평범(한적+불만)
통영케이블카,22,4.2272727272727275,4.136363636363637,평범(한적+불만)
다우랑 1호점,22,4.0,3.8181818181818183,평범(한적+불만)
객사길,22,4.0,4.090909090909091,평범(한적+불만)
롯데백화점 본점,22,4.090909090909091,4.045454545454546,평범(한적+불만)
파리바게뜨 제주공항점,22,4.409090909090909,4.2727272727272725,숨은명소(한적+만족)
행궁동벽화마을,22,3.8181818181818183,3.5454545454545454,평범(한적+불만)
파주 프리미엄 아울렛,22,4.318181818181818,4.318181818181818,평범(한적+불만)
국립중앙과학관,22,4.590909090909091,4.545454545454546,숨은명소(한적+만족)
하갈비,22,3.9545454545454546,3.5454545454545454,평범(한적+불만)
귤꽃다락,22,4.7272727272727275,4.590909090909091,숨은명소(한적+만족)
낙타트래킹,22,4.090909090909091,3.590909090909091,평범(한적+불만)
초량차이나타운,22,3.727272727272727,3.3181818181818183,평범(한적+불만)
수목원테마파크,22,4.090909090909091,3.727272727272727,평범(한적+불만)
물영아리,22,4.2727272727272725,3.8181818181818183,평범(한적+불만)
여수세계박람회 스카이타워,22,4.2727272727272725,3.772727272727273,평범(한적+불만)
삼대국수회관 본점,22,3.909090909090909,3.409090909090909,평범(한적+불만)
스파크랜드,22,4.363636363636363,4.136363636363637,숨은명소(한적+만족)
"오른(orrrn,오알엔)",22,4.318181818181818,3.909090909090909,평범(한적+불만)
오드랑 베이커리,22,4.5,4.181818181818182,숨은명소(한적+만족)
신리성지,22,4.7727272727272725,4.409090909090909,숨은명소(한적+만족)
애월해안도로,22,4.590909090909091,4.409090909090909,숨은명소(한적+만족)
춘향테마파크,22,3.8181818181818183,3.272727272727273,평범(한적+불만)
민락수변공원,22,4.363636363636363,4.318181818181818,숨은명소(한적+만족)
카페 모알보알,22,4.5,4.363636363636363,숨은명소(한적+만족)
장도,22,4.5,4.5,숨은명소(한적+만족)
오드씽,22,4.681818181818182,4.545454545454546,숨은명소(한적+만족)
이춘옥의원조고등어쌈밥,22,3.5454545454545454,3.272727272727273,평범(한적+불만)
옛 군산세관,22,3.772727272727273,3.0,평범(한적+불만)
서울랜드,22,4.681818181818182,4.636363636363637,숨은명소(한적+만족)
인스밀,22,4.409090909090909,3.909090909090909,숨은명소(한적+만족)
숙성도 애월점,22,4.7272727272727275,4.454545454545454,숨은명소(한적+만족)
조양 방직,22,4.2727272727272725,4.2272727272727275,평범(한적+불만)
섬소나이,22,4.2272727272727275,4.0,평범(한적+불만)
스타벅스 제주송악산점,22,3.909090909090909,3.5454545454545454,평범(한적+불만)
올레야시장,22,4.363636363636363,4.2272727272727275,숨은명소(한적+만족)
연화정도서관,21,4.761904761904762,4.666666666666667,숨은명소(한적+만족)
논짓물해변,21,4.476190476190476,4.428571428571429,숨은명소(한적+만족)
한 섬 해변,21,4.380952380952381,4.428571428571429,숨은명소(한적+만족)
공주산성시장,21,3.9523809523809526,3.619047619047619,평범(한적+불만)
설악케이블카,21,4.238095238095238,4.095238095238095,평범(한적+불만)
센텀시티 스파랜드,21,4.571428571428571,4.380952380952381,숨은명소(한적+만족)
제주사월,21,4.428571428571429,4.428571428571429,숨은명소(한적+만족)
상상 함덕점,21,4.714285714285714,4.428571428571429,숨은명소(한적+만족)
엔드투앤드,21,4.523809523809524,4.476190476190476,숨은명소(한적+만족)
녹테마레,21,4.428571428571429,3.8095238095238093,숨은명소(한적+만족)
제주도립김창열미술관,21,4.142857142857143,3.857142857142857,평범(한적+불만)
소수서원,21,4.571428571428571,4.380952380952381,숨은명소(한적+만족)
자매 갈비전골,21,4.095238095238095,4.142857142857143,평범(한적+불만)
제주특별자치도 민속자연사박물관,21,4.285714285714286,4.0,평범(한적+불만)
제주 김만복 김밥 본점,21,4.333333333333333,4.0476190476190474,평범(한적+불만)
송광사,21,4.619047619047619,4.523809523809524,숨은명소(한적+만족)
안성팜랜드,21,4.523809523809524,4.380952380952381,숨은명소(한적+만족)
스타벅스 제주칠성점,21,3.9047619047619047,3.5238095238095237,평범(한적+불만)
안동 하회마을,21,4.523809523809524,4.333333333333333,숨은명소(한적+만족)
해운대전통시장,21,4.0476190476190474,3.761904761904762,평범(한적+불만)
전포 카페거리,21,4.285714285714286,4.142857142857143,평범(한적+불만)
인사동 문화의거리,21,4.285714285714286,3.857142857142857,평범(한적+불만)
스타벅스 제주 용담 DT 점,21,4.285714285714286,3.761904761904762,평범(한적+불만)
씨엘이 베이커리 본점,21,4.333333333333333,4.285714285714286,평범(한적+불만)
제주엔젤렌트카,21,4.0,3.857142857142857,평범(한적+불만)
해운대블루라인파크 송정정거장,21,4.428571428571429,4.238095238095238,숨은명소(한적+만족)
신세계백화점 광주신세계점,21,4.190476190476191,4.333333333333333,평범(한적+불만)
공주 무령왕릉과 왕릉원,21,4.333333333333333,4.190476190476191,평범(한적+불만)
킨텍스 제1전시장,21,3.9523809523809526,3.857142857142857,평범(한적+불만)
매향,21,4.333333333333333,4.0476190476190474,평범(한적+불만)
망원시장,21,4.285714285714286,3.857142857142857,평범(한적+불만)
태종대유원지,21,4.190476190476191,4.380952380952381,평범(한적+불만)
명월국민학교,21,4.333333333333333,3.9523809523809526,평범(한적+불만)
말티재 전망대,21,4.285714285714286,4.190476190476191,평범(한적+불만)
김희선제주몸국,21,4.380952380952381,4.095238095238095,숨은명소(한적+만족)
태화탕,21,4.0476190476190474,3.5714285714285716,평범(한적+불만)
캘리포니아비치,21,4.428571428571429,4.333333333333333,숨은명소(한적+만족)
PNB풍년제과 전주 본점,21,3.9523809523809526,3.8095238095238093,평범(한적+불만)
목장카페 밭디,21,4.666666666666667,4.428571428571429,숨은명소(한적+만족)
료코,21,4.476190476190476,4.0,숨은명소(한적+만족)
온양온천시장,21,4.095238095238095,3.9523809523809526,평범(한적+불만)
카카오 프렌즈 전주한옥마을점,21,4.333333333333333,4.238095238095238,평범(한적+불만)
백약이오름,21,4.238095238095238,4.0476190476190474,평범(한적+불만)
청라언덕,21,4.0476190476190474,4.0,평범(한적+불만)
부촌,21,4.523809523809524,4.476190476190476,숨은명소(한적+만족)
북촌 한옥마을,21,4.190476190476191,4.142857142857143,평범(한적+불만)
허균허난설헌기념관,21,4.380952380952381,3.9523809523809526,숨은명소(한적+만족)
경주문무대왕릉,21,4.0,3.619047619047619,평범(한적+불만)
