"","outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime"
"135",NA,"lawyer",NA,NA,61063965,0,0,0,0,0,"fraud"
"136",0,"lawfirm","imprisonment",120,71816780000,0,0,0,0,0,"fraud"
"137",0,"lawfirm","both",48,891210000,0,1,0,0,0,"fraud"
"138",0,"lawyer","imprisonment",36,547600000,0,0,0,0,0,"fraud"
"139",0,"lawfirm","suspended",12,4696000,0,1,0,0,0,"fraud"
"140",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"141",0,"lawfirm","suspended",42,831600000,0,0,0,0,0,"fraud"
"142",NA,"lawyer","imprisonment",84,NA,1,0,0,1,0,"fraud"
"143",0,"public","both",24,5.6e+07,0,0,0,0,0,"fraud"
"144",1,"lawyer","both",8,1.35e+08,0,0,1,1,0,"fraud"
"145",NA,"public","suspended",16,NA,0,1,0,1,0,"fraud"
"146",NA,"lawyer","suspended",12,NA,0,1,0,0,0,"fraud"
"147",0,"lawfirm","both",144,7.54e+10,1,0,0,0,0,"fraud"
"148",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"149",NA,"lawyer",NA,NA,NA,0,0,0,0,1,"fraud"
"150",0,"lawfirm","suspended",48,1849509358,0,0,1,1,1,"fraud"
"151",0,"lawfirm","suspended",12,650000,0,0,0,0,0,"fraud"
"152",0,"lawfirm","suspended",12,650000,0,0,0,0,0,"fraud"
"153",0,"lawyer","suspended",6,30563730,0,0,0,0,0,"fraud"
"154",0,"lawyer","imprisonment",48,2014003238,0,0,0,0,0,"fraud"
"155",NA,"lawyer","imprisonment",NA,5.75e+08,0,0,0,0,0,"fraud"
"156",1,"lawfirm","imprisonment",18,5.35e+09,0,0,0,0,0,"fraud"
"157",0,NA,"suspended",6,4e+07,0,0,0,0,0,"fraud"
"158",0,"lawfirm","imprisonment",36,4799302284,0,0,0,0,0,"fraud"
"159",1,"lawfirm","suspended",4,29997718,0,1,0,0,1,"fraud"
"160",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"161",NA,"lawyer","imprisonment",48,NA,0,0,0,0,0,"fraud"
"162",0,"public","imprisonment",12,1e+08,0,0,0,1,0,"fraud"
"163",NA,"public","fine",NA,NA,0,0,0,0,0,"fraud"
"164",0,"lawfirm","suspended",72,111781141,0,0,0,0,1,"fraud"
"165",NA,"public","fine",NA,NA,0,0,0,0,0,"fraud"
"166",NA,"lawfirm",NA,NA,1475368000,0,1,0,0,0,"fraud"
"167",0,"lawfirm","both",18,211601030,0,0,0,0,0,"fraud"
"168",0,NA,"imprisonment",10,6.1e+07,0,0,0,0,0,"fraud"
"169",NA,"public","imprisonment",12,NA,0,0,0,0,0,"fraud"
"170",0,"lawfirm","both",42,1e+10,0,1,1,0,1,"fraud"
"171",NA,"lawfirm","both",NA,NA,0,0,0,0,0,"fraud"
"172",NA,"lawyer","both",NA,NA,0,0,1,0,0,"fraud"
"173",0,"lawfirm","suspended",48,5217684306,0,1,1,0,1,"fraud"
